Location,Property Type,Size (sqm),Number of Bedrooms,Number of Bathrooms,Number of Floors,Year Built,Parking Space,Furnished,Proximity to City Center (km),Proximity to Schools (km),Price (RWF)
Nyamagabe,Villa,169,2,2,1,1982,1,1,1.4878853163709445,2.1602400049924415,4046813
Rusizi,Bungalow,159,4,3,1,1984,1,1,0.0,2.535426694633463,1295112
Muhanga,Villa,155,5,1,2,1989,1,1,6.034148130660639,1.0130043205298258,5283832
Kigali,Bungalow,156,2,2,1,2008,0,0,2.017496627539243,1.7382865678648214,7960258
Nyanza,Villa,129,3,3,2,2001,0,1,0.2365568243163647,1.9088365395097977,3976760
Rubavu,Apartment,184,2,3,2,2005,0,0,8.018433133929797,2.1087387596660676,3559221
Huye,Bungalow,97,5,3,3,1981,1,1,4.590649471420896,2.5951953736261086,3858268
Gicumbi,Bungalow,141,1,2,1,1982,1,0,4.495955605547856,2.178434457921581,1952846
Rubavu,Apartment,179,2,1,1,1996,1,0,4.432442191707902,2.0716290218566322,4909885
Rusizi,Apartment,234,2,3,3,2021,1,0,5.9374714993421644,2.4007958301957046,3248981
Gicumbi,Villa,154,1,1,2,1997,0,1,5.588676909988688,2.128523753153995,-498158
Huye,Apartment,196,4,1,2,1997,1,0,6.368137502028324,2.2207279647562324,-58239
Rwamagana,Apartment,144,5,1,1,1992,1,0,7.988439887443247,2.323809777629067,5850072
Nyanza,Bungalow,134,4,2,3,1989,0,0,5.513997712453939,0.9681801384924862,5897828
Kigali,Villa,181,1,1,3,2013,1,0,2.177576576343877,2.838840451853338,2429292
Rusizi,House,125,1,2,3,2022,1,0,6.281721107481973,2.989084093571944,4897278
Rusizi,Bungalow,117,2,2,2,2005,0,1,7.292564039979178,3.0661414615787033,4027204
Nyanza,Villa,144,1,3,1,1989,1,0,4.985539895828864,2.181325927501231,2497510
Gicumbi,Villa,146,1,1,1,2023,0,1,2.4363454807816116,1.833207847594778,1586254
Muhanga,House,146,4,3,1,1991,1,0,5.94054758212579,1.5578572386136873,4266445
Nyanza,Bungalow,103,1,3,1,1988,1,0,5.331870851086828,2.5335667139700564,4753095
Rusizi,House,127,5,1,1,1996,0,0,4.816060541313241,3.30779097370608,4605040
Huye,Villa,217,1,2,3,1986,1,0,5.894388244384847,2.084754151587622,5372666
Nyanza,Bungalow,176,2,3,2,1998,0,1,5.885513701378769,2.7963857287890472,5024056
Gicumbi,House,122,5,3,2,2014,0,0,4.762573533176174,0.676444885077514,1885330
Nyanza,House,90,2,2,3,2012,1,1,5.521024994583381,3.2664327592215687,4422396
Muhanga,Bungalow,113,3,3,3,1986,0,1,6.959209183641397,2.1028018401076927,8453422
Gicumbi,Villa,176,3,1,2,2013,0,1,5.457209702385014,2.1289726820228108,2012088
Huye,House,83,4,2,2,1984,0,0,5.219916518849942,1.0403117381606795,3476440
Nyamagabe,Apartment,130,5,3,2,2001,1,1,5.846259814185019,2.2045272834460903,4654213
Huye,Villa,171,2,2,1,2016,1,0,8.169057533776494,3.1047499730716837,942890
Gicumbi,Villa,141,3,2,1,1983,0,0,3.353796015089091,0.39233535406745634,5995348
Nyanza,Villa,63,2,1,2,1982,0,0,9.561408265411202,1.4685627091488413,2759350
Nyanza,House,77,3,2,3,2011,0,0,6.374702976840384,1.8758359427472522,3404384
Musanze,Apartment,151,1,1,3,2023,1,1,4.05035994328715,1.0970649557497911,3907639
Rusizi,House,101,5,3,1,2015,0,0,3.4488547294841245,1.497036822884207,4970003
Musanze,Villa,193,5,3,3,2018,1,0,6.714980307751092,0.4854009013936411,8241242
Muhanga,Villa,206,4,3,2,2011,1,1,6.277922446088049,3.1979269802742,4506259
Rusizi,Bungalow,197,5,1,2,2020,0,0,7.481911099329067,2.0931467230890877,6868827
Muhanga,House,200,4,1,1,1997,1,0,8.315808384274622,3.5791051008283494,7068094
Rwamagana,Villa,136,1,1,2,2000,1,0,7.394989675015822,1.89911960096522,803495
Muhanga,House,125,4,3,3,1996,1,1,1.7503266307533276,3.915156521370855,1855944
Rwamagana,Villa,202,1,1,2,1983,0,0,4.0279673662310245,3.2319640664834495,2393129
Rusizi,House,210,5,3,1,2012,0,0,8.785832377462176,2.5600516291532016,7548240
Rwamagana,Villa,180,5,1,1,1999,1,1,4.970260647604332,2.599604216735654,6535382
Muhanga,Apartment,166,1,2,1,2005,0,0,0.07687990928738841,2.8141664952504266,3876495
Musanze,Apartment,167,2,3,2,2022,1,1,3.8554884629710378,2.952917894337835,3416986
Musanze,Bungalow,131,5,1,3,2010,1,1,3.111005486108172,1.3392484530953461,3938547
Rwamagana,Villa,101,3,3,3,1985,1,0,6.484426378744011,2.437420249162735,2068903
Rubavu,Bungalow,255,2,1,1,1998,0,0,4.776859286417003,3.7876702460640823,1005160
Rusizi,Bungalow,120,1,2,2,1986,0,1,5.168907898136328,2.8166420554644667,2827697
Musanze,Villa,77,1,3,2,2010,1,1,3.9224867982745257,2.6138337330673878,1223765
Rubavu,Bungalow,93,4,1,1,1998,1,0,8.749324869300327,0.7143028027295726,4307805
Nyamagabe,House,203,3,1,1,1982,0,1,2.822934798795473,1.558707547859504,10554948
Huye,Bungalow,164,1,2,3,2019,0,0,4.315574969779189,2.0939976872651527,1555371
Gicumbi,Villa,128,5,1,2,2017,0,1,4.3586247648573675,2.386486932689542,2569641
Muhanga,Bungalow,160,4,2,1,1998,1,1,8.607328581117585,1.8895067923241304,4317263
Nyamagabe,Villa,113,5,1,1,2023,0,0,1.6028762563523826,2.1539823078145393,4259319
Rusizi,House,159,4,1,3,1998,0,1,4.387734498925605,2.8267583989053797,4793039
Muhanga,Bungalow,111,5,2,3,1989,0,1,11.186986519079431,1.8249991267780432,5177411
Rubavu,House,111,3,2,1,1996,0,0,6.520128328228108,1.0168076022053176,1342034
Rwamagana,Bungalow,156,4,2,3,1982,0,0,3.119773663762267,1.2180324011981605,5038619
Rusizi,Bungalow,185,1,3,2,1993,0,0,4.976013204762334,1.7739658754486176,5947657
Huye,Bungalow,110,2,2,2,1980,1,1,4.482644525212301,3.6268303570833966,4098321
Huye,Apartment,200,4,3,1,2004,1,0,5.666117255449187,3.1716092593182257,7848341
Kigali,Apartment,192,1,2,2,1985,0,1,1.0761982884678765,1.7828833958455503,3848139
Rubavu,Villa,176,5,2,2,1992,1,1,4.154557061442709,1.64987561998718,4655348
Rwamagana,Apartment,195,4,1,3,2008,1,0,4.347826786947288,1.170010584855768,4199249
Rwamagana,Villa,133,5,1,2,2017,0,0,6.70635264349054,2.9023223434457797,5886577
Huye,House,192,5,3,2,1989,1,1,4.395187024068709,2.751820551817733,5148745
Rwamagana,Villa,131,2,2,2,2016,0,1,6.0385998253411675,1.9181961239043968,6251229
Muhanga,Bungalow,138,3,1,1,1997,0,1,7.687273265679329,1.6228755387821931,986336
Gicumbi,Villa,184,5,3,3,1986,1,1,6.038521894803927,1.1586947795457132,7493334
Rubavu,Villa,167,5,2,2,1985,1,1,7.353179362823781,1.8052609479028874,5754478
Kigali,Villa,129,2,1,2,2005,0,1,6.442782873192721,2.104284350344683,878215
Rusizi,Bungalow,162,3,3,1,2016,0,1,3.6088721843855014,0.18768992625035064,3025873
Gicumbi,Apartment,202,1,2,2,2004,1,0,9.332774987558434,1.5766331169949814,3108131
Rwamagana,House,175,1,3,2,1997,1,0,2.9635021829691346,3.0574028249121703,4925758
Musanze,Apartment,215,5,2,3,1981,1,1,5.713121472448429,2.689400426410014,6916683
Kigali,Apartment,132,4,1,2,2010,0,1,5.64684497090249,1.482836929043501,2598365
Musanze,House,66,1,1,3,1998,1,0,4.107422405460656,3.1515317168115606,1930767
Rusizi,Villa,108,5,3,2,1988,1,1,5.274539477528586,0.6059379222370069,6308927
Rusizi,House,198,1,3,3,2011,0,1,2.024296203713689,2.918918581634906,5799332
Muhanga,Villa,233,2,1,2,1980,0,0,1.2642979067670068,3.4591886936221314,3246205
Gicumbi,House,126,3,2,1,1980,0,1,5.45637921191321,0.7739141941943639,2363774
Huye,House,167,5,2,2,1997,0,1,2.775730522119154,2.4369107342925873,6522459
Muhanga,Apartment,194,5,3,1,1981,1,0,5.419721779749198,2.735844966576889,3837150
Nyanza,House,50,4,3,1,2023,1,1,8.941771356400853,3.5662315626366534,674191
Nyanza,Villa,88,1,3,3,1990,1,1,3.4342837943271105,2.895617996694556,5821964
Musanze,Apartment,98,2,2,3,2021,1,1,4.333687490569989,1.3142217259435067,928665
Nyanza,Apartment,141,1,1,2,2001,1,0,5.709727017852657,0.993284063910232,1605436
Rusizi,Bungalow,130,4,3,2,1996,1,1,4.113961918016643,4.239342131758741,2684447
Huye,Bungalow,177,4,3,3,2021,0,1,1.4601661456544255,0.012812669191397452,9473539
Nyanza,Villa,177,4,3,1,1994,1,1,4.546932930250858,1.2619583369524783,3226211
Gicumbi,Villa,195,5,2,1,1990,0,1,3.7777828599145034,0.9809019807322723,3273028
Rusizi,Apartment,104,5,2,1,2001,1,0,6.360850168793862,1.279073967264222,4969348
Kigali,Apartment,143,1,3,1,1993,1,1,4.860826182059035,2.4159249430248133,6323256
Rusizi,Apartment,173,5,3,2,1989,0,0,6.684196762633704,1.3403539332932801,5226735
Rusizi,Apartment,103,4,3,2,1992,0,1,4.283329169526631,3.7495018348241604,4721737
Kigali,Apartment,86,5,1,1,2000,1,1,0.0,1.16646944638768,1325083
Nyanza,House,58,5,3,1,1992,1,1,4.6535881485646895,1.6090777195545267,8525799
Rusizi,Villa,282,2,2,3,1992,0,0,4.7492388689780975,0.553452102190569,4242760
Gicumbi,Bungalow,142,4,1,3,2016,1,0,5.277295609975252,0.583683302529385,3762342
Muhanga,Apartment,144,1,3,1,2011,1,1,5.378826201049856,2.3371741084998403,2399682
Kigali,Bungalow,111,4,2,3,2005,1,0,3.012161813254142,1.181431660621448,5898340
Gicumbi,Villa,129,5,3,3,1987,0,0,6.657937243690333,2.715665826899381,5476439
Nyanza,House,203,1,3,1,1994,1,0,2.9382721645199417,0.0,2817231
Musanze,Apartment,153,5,2,1,1990,1,1,5.171325271006697,2.7065065482389845,5975631
Musanze,Villa,174,2,1,2,1999,0,0,3.5360080412265456,1.6279762366627724,1819095
Rusizi,Bungalow,158,5,1,2,1992,0,0,7.583501604751126,2.3891709618463635,-1130213
Gicumbi,Villa,98,1,1,1,2010,1,0,1.4614258104112334,0.36678848798973607,-485795
Rwamagana,Bungalow,120,4,3,3,1985,1,0,4.313564501513893,0.411355763027631,2846489
Nyanza,Villa,220,4,3,1,1998,1,0,6.003231586502139,2.3905342859162104,8952960
Nyanza,Bungalow,179,5,1,1,1985,0,1,3.237333271583558,2.093012710046907,3237359
Nyanza,Villa,202,5,1,2,2022,1,0,4.865129912480601,1.805740071663782,3324618
Rubavu,Apartment,50,3,2,1,2002,0,1,4.810968673957959,4.3416387713238205,3498693
Rusizi,Apartment,180,1,3,3,2007,0,0,7.12221614128177,1.8500522086150348,3280772
Nyanza,Villa,203,1,1,1,2003,1,1,4.887291336335967,2.0878668671343457,3499721
Rusizi,Bungalow,145,2,1,2,1986,0,0,5.1667907024331665,3.274630067050493,2574970
Rusizi,Bungalow,84,1,3,1,2014,1,1,3.488204469162433,2.132713597882196,220631
Nyanza,Apartment,157,3,1,1,1985,0,0,3.3236723084607385,2.299644837179324,2947182
Rwamagana,House,197,2,2,1,1996,1,1,4.509818705482147,2.9103745382170585,4773766
Huye,Apartment,109,2,3,1,1991,0,0,2.7502664245465978,3.0559437308452266,155743
Nyamagabe,Apartment,50,4,3,3,1983,1,0,4.55599317503662,2.5526684458558946,2319766
Kigali,Bungalow,162,3,3,1,1995,0,0,4.916274265764631,1.9887987535330547,2209489
Nyanza,Bungalow,187,3,3,2,2006,1,1,2.365772383131994,2.4555542157159387,333489
Gicumbi,Bungalow,227,4,2,2,1999,1,0,0.0,0.08465420338789187,6039117
Muhanga,Apartment,107,4,1,2,2023,0,0,8.14204137437672,4.200252649202168,4021506
Muhanga,Bungalow,86,1,1,3,2011,0,1,5.544634940009307,4.033855092365039,2224534
Gicumbi,Villa,121,2,2,2,1994,1,1,3.0799817378380094,2.4459580860274577,2941157
Musanze,Villa,131,5,3,3,2002,1,1,0.6547825284979725,3.106612829712458,7012560
Huye,Bungalow,216,3,2,1,2014,0,0,6.145232273127412,1.2944698188480084,1083823
Huye,Villa,107,3,2,3,1987,1,0,4.755745963838129,1.5599863714575735,2977576
Musanze,House,79,4,1,1,2021,1,1,7.584423466451902,1.9188872473054264,1879532
Kigali,Villa,50,5,3,1,2004,1,0,7.071074154324324,3.4578526151097497,1899494
Nyamagabe,Villa,206,3,3,1,2006,1,0,4.37578788682897,1.6991066211993586,6588090
Musanze,Villa,209,5,1,3,1996,1,0,7.338135100166502,2.2914982101840615,5260656
Rubavu,House,211,1,3,2,2011,0,1,2.6926417713642152,2.843775836348853,6500755
Kigali,Bungalow,113,4,2,2,1994,0,0,6.1443120346010485,3.304297829365483,4966062
Gicumbi,Bungalow,179,3,3,3,2012,0,1,5.01799191371076,1.4710159532453848,3094826
Nyanza,Bungalow,152,5,2,3,2010,0,0,7.683354130057664,3.088598274669812,5385035
Rwamagana,House,193,5,1,3,2004,1,1,3.571032255572417,2.5785648478754033,5511863
Rubavu,Apartment,187,3,3,1,1981,0,1,7.599268304437118,2.604145786880594,4557970
Muhanga,Villa,143,5,1,1,2011,1,1,2.4317032117194266,1.0064844112571687,5304583
Muhanga,House,154,4,1,1,1996,1,0,3.831524964498084,2.1307624266188676,874704
Musanze,Apartment,198,4,2,3,1986,1,1,4.601798636873821,2.255271722242336,7327400
Gicumbi,Villa,195,5,1,3,2022,1,1,3.3618290274067117,2.542650335136659,3203792
Rubavu,House,50,1,3,2,1987,1,0,4.1266219570402285,1.9222941694627904,2505954
Rusizi,House,170,5,2,2,2013,1,0,2.40012010753621,2.116209500908272,6189267
Nyanza,Apartment,125,2,1,1,2023,1,1,3.1769755292770414,1.543739388865444,-68939
Gicumbi,Apartment,152,5,2,1,1988,1,0,3.2351470899612496,2.0530909369792343,6158120
Rwamagana,House,107,2,3,3,1985,1,0,2.8237781528060553,1.411078353574665,3479612
Kigali,Apartment,168,3,2,2,1999,1,0,4.930810142811298,0.0,-7509
Huye,Villa,173,2,3,1,2004,1,0,4.8416485543213055,2.8180796383818274,7580520
Nyanza,Apartment,157,4,2,2,2011,1,0,4.797138158849497,1.419024093213069,2218188
Rwamagana,Villa,193,4,3,1,2017,0,0,6.528123702514476,1.8443404259253198,2928452
Muhanga,Bungalow,187,1,1,3,1982,1,1,4.747414829130956,0.06914134914535697,2669753
Gicumbi,Villa,113,3,3,3,1988,1,1,6.337916335895582,3.4028023033728103,4253993
Kigali,Villa,177,2,3,1,2017,0,0,4.656829748402623,3.6512177871872233,5459427
Nyamagabe,Bungalow,88,4,2,2,2013,1,1,2.8785214321610213,1.238074555570511,3125953
Gicumbi,Villa,199,2,1,3,1996,1,0,2.870903255266425,0.6607815112875652,5697647
Rwamagana,Villa,110,1,1,2,1982,1,1,6.743745731549483,1.2606512238408416,-1004668
Kigali,Apartment,155,1,1,1,2015,0,0,5.618883435697955,0.0,-119767
Nyanza,Apartment,163,3,3,2,2014,0,1,4.162552293186989,1.4548821212802427,-553804
Kigali,Apartment,209,1,3,2,2010,1,1,8.206133461634105,2.1671857996272403,3615570
Gicumbi,Bungalow,145,5,3,2,1984,0,1,5.6357827645417125,0.8966540763030075,4618838
Nyanza,House,188,5,1,1,1988,0,1,6.490309275926253,2.5360185109158717,4702545
Kigali,House,140,3,1,1,1998,1,1,3.0120669181804103,1.1475742556506234,6733655
Kigali,House,112,3,2,3,1996,0,1,7.3629963795658435,1.479152621976263,740682
Nyanza,Bungalow,126,1,2,3,1989,1,1,6.199232776937755,2.9428289762304027,2184047
Kigali,Villa,126,1,2,3,2014,1,0,5.021891183788308,0.0,3105108
Rubavu,Bungalow,154,1,2,1,2022,0,0,7.271962335982915,2.301695882399697,-2698316
Huye,Villa,182,2,3,3,1983,1,1,5.726060284602012,2.9143925043167984,2711815
Nyamagabe,House,176,4,2,2,1992,1,1,5.487427932413566,1.4868686058167673,4113340
Kigali,Villa,224,2,2,1,1992,1,1,4.827149538636235,2.3442624218308623,6336266
Nyamagabe,House,128,1,2,3,2004,1,0,6.795479286192888,1.7488624392469,2892821
Rusizi,House,135,4,3,1,2002,1,1,0.47578922556031333,0.4179450421106681,5639325
Gicumbi,Apartment,189,2,2,2,1981,1,1,2.900062689030789,2.263181787661356,5176898
Rwamagana,Apartment,140,4,3,1,2018,1,1,4.801376846558105,1.9097551371693244,6009735
Musanze,Apartment,253,5,2,1,1998,1,0,5.883407482796813,1.9749410174097153,4277255
Muhanga,Villa,73,3,2,3,1997,1,1,0.0,0.0,4471080
Kigali,House,50,5,3,3,1992,1,0,4.141082889753877,2.7964491426729183,6061766
Muhanga,Apartment,102,3,1,1,2000,1,1,8.422188951005333,0.9517823388123043,-40044
Musanze,Villa,144,2,3,1,1998,0,0,3.970275846630594,1.102851037666581,3890326
Huye,Bungalow,61,4,1,2,2022,1,0,3.649684026594928,1.75005495723402,4809360
Rwamagana,House,173,3,3,3,1992,1,0,3.52078967046448,0.0,5056092
Nyamagabe,House,69,5,2,2,1988,1,1,6.40508988948848,3.07654152317276,5989572
Rusizi,Apartment,180,5,2,3,1994,1,1,2.7828546780337606,2.430661772035819,6678252
Huye,Bungalow,64,4,3,1,2013,1,0,2.661486892007347,1.5689255011482839,3203806
Musanze,Villa,195,4,3,3,1990,0,0,2.7789385196216827,3.669621420276001,6185755
Gicumbi,House,157,3,1,2,1994,1,1,7.2069346556635185,0.7308487233432777,6667829
Nyanza,House,215,3,2,1,2023,1,1,3.1422942048715714,2.8116500418082637,2049140
Rubavu,Apartment,63,5,3,2,2022,1,0,4.473108866353873,3.8811621771365674,5903371
Gicumbi,Villa,209,2,2,2,1995,1,1,3.5575748813468264,1.4915379211635424,2057721
Muhanga,Apartment,116,2,1,2,2007,1,0,7.670022957597588,0.7608251022641761,-1367348
Huye,Bungalow,229,3,3,2,1983,1,0,4.366123547959358,2.131769003365707,4563649
Nyamagabe,House,78,5,1,2,2016,0,1,5.26254055728117,1.5068707329266007,3860563
Huye,Villa,82,1,1,2,1988,0,0,2.536892105441269,2.367154088111226,530467
Muhanga,Apartment,196,3,2,3,2020,1,1,7.007692928944003,1.0503650260575776,2642073
Rubavu,Villa,158,4,3,1,2003,0,1,3.1285988526167756,0.9010943603817216,2898845
Rusizi,Bungalow,122,4,1,2,1993,1,1,6.699633270673365,2.3973934148438034,3522556
Nyamagabe,Apartment,125,4,3,3,2004,1,1,4.328768586407363,2.1931704922585302,1341939
Rusizi,Bungalow,121,3,1,3,1983,1,0,7.507545306274003,2.1213327969839413,3047017
Rubavu,Bungalow,197,1,2,2,1991,0,1,0.6214876141416426,1.516402407382805,4570642
Nyamagabe,Villa,197,2,2,2,1999,0,1,7.9116144164235,1.075393236003229,435962
Muhanga,Bungalow,140,1,1,3,2011,1,0,1.5752523834892571,1.813239070685524,-358580
Rwamagana,House,50,5,3,3,2010,0,1,5.947650885378571,0.8912667960077498,5205317
Huye,Villa,142,2,3,1,2013,1,1,3.8925771225003674,1.1290790715183734,529356
Rusizi,Apartment,55,4,3,1,2000,1,1,9.211875475153988,1.248274242413993,5658505
Rwamagana,Apartment,128,2,3,1,2004,0,0,0.3574970475752508,1.323126244287221,4483863
Rubavu,Apartment,172,3,1,2,2008,0,0,6.601938646237857,1.4864611629799453,2622788
Rubavu,House,152,5,1,1,2022,1,1,3.1937368600599014,2.7084172724339153,3811890
Kigali,Bungalow,235,1,2,1,1993,1,0,5.574615691138947,0.28113509198367215,3639808
Gicumbi,House,167,3,1,3,2002,1,1,5.234193518387897,1.311760189758986,6220772
Muhanga,House,131,4,2,1,1987,1,1,6.532696694131298,1.7385959913937061,3672141
Kigali,Bungalow,101,2,2,1,2018,1,1,5.228287613459856,2.489057814102972,6318137
Rusizi,Villa,160,2,2,2,1983,1,0,7.951062440309306,1.7475526258072254,3248674
Rwamagana,Villa,50,1,1,1,2009,0,0,1.8541835107577826,1.5858327770341063,1212186
Muhanga,Apartment,161,4,3,1,1996,1,1,12.930580577972098,1.393542078240415,-1188241
Huye,Bungalow,187,1,1,2,2022,0,0,3.792631438154734,1.4375326148217158,838473
Huye,Bungalow,193,5,3,1,1997,1,0,6.612014167138524,1.8863502053881285,6924251
Rwamagana,Bungalow,180,2,1,1,1982,1,0,6.293234600205156,1.04680486793827,3394392
Rubavu,Villa,146,4,2,2,1982,0,1,4.835620995169406,1.696714931885549,6035824
Rubavu,Bungalow,157,1,1,2,2018,1,0,3.916441196602439,2.9467495121677763,3236533
Nyamagabe,House,88,1,2,3,2001,1,0,4.013684289257689,2.0011774972174554,-1115816
Rusizi,Bungalow,95,4,2,1,2016,0,1,3.542893746151205,1.723237115801692,5457883
Nyamagabe,Villa,127,4,1,2,2012,1,1,2.0594092463214273,2.153216961835548,1432988
Musanze,House,93,3,3,3,2004,0,0,4.052944381640024,1.8304330883554225,1771322
Nyanza,Villa,185,2,2,2,1987,1,1,4.3839506549425655,1.856206955926663,1723410
Nyanza,Apartment,148,4,1,3,2021,1,1,5.105707696709588,2.660417299567615,2214615
Nyamagabe,Apartment,129,3,1,1,1984,1,1,4.007744175576822,3.268124588699595,4645588
Kigali,Apartment,261,3,3,2,2015,1,1,4.334963885930869,1.5214244476747185,5100044
Musanze,Apartment,117,4,3,3,2019,1,0,4.896501293823682,1.0894769167152019,3385816
Kigali,Apartment,139,5,3,2,2017,1,1,8.812189147323327,2.2236910650973583,3378048
Musanze,Bungalow,231,5,2,1,2013,0,1,5.001640526970196,2.6701835858959355,6487367
Nyanza,Apartment,129,3,3,1,1990,1,0,4.835949112633996,2.1689539379728866,4163126
Nyanza,Apartment,113,5,2,2,2006,1,1,3.816011369043581,2.257304255419624,3897627
Muhanga,Bungalow,187,4,3,3,1986,1,1,2.814005077154079,1.3729231639232475,9300570
Nyanza,House,230,2,3,2,2002,0,0,1.1512736569565347,1.99509113404108,3373010
Musanze,Villa,82,1,2,1,2018,0,1,2.5858554376949923,4.143725267493297,215834
Nyanza,Apartment,116,5,1,2,2004,1,0,3.676803512364278,1.6940540681751686,6043517
Musanze,Apartment,159,5,1,1,2018,1,1,7.555195995329084,1.4982869586826038,3435778
Rubavu,Apartment,106,4,1,3,2016,1,0,4.954461239557782,1.8327323366874182,5202517
Rwamagana,House,177,4,3,1,1991,1,0,6.376296530249191,2.3189879527378707,3897215
Huye,House,163,4,3,3,2005,1,0,7.010744388061781,1.2186356959199682,4828935
Rusizi,Villa,56,1,3,3,1995,1,1,4.818669382573634,0.7213185860993814,1690010
Huye,Villa,92,4,2,3,1992,0,1,5.79472470421045,0.8017686430019657,2278737
Rwamagana,House,110,1,2,3,2004,1,0,8.510338781955248,1.442334688221239,518374
Nyanza,Apartment,90,1,2,3,2019,1,1,7.2583162565197865,4.208053523019023,3823567
Rusizi,Villa,161,3,2,3,1990,1,0,6.181452365099843,3.4885715986213954,440759
Rusizi,Villa,184,1,1,3,1995,1,0,6.079762204956098,3.7201887467459116,4350733
Musanze,Villa,103,3,1,3,2015,1,0,4.639290269718414,1.707883646855584,8540175
Kigali,Apartment,97,5,2,1,2005,0,0,5.966229094807196,2.223982548020908,3360608
Rusizi,Apartment,246,3,3,2,2011,1,1,6.226495551258883,2.763678983399909,4213951
Musanze,Villa,188,1,3,2,2012,1,0,6.434626365763146,1.699465868423451,3195189
Gicumbi,Bungalow,78,3,3,1,2007,1,0,2.8354019704961053,2.6064613282335016,1171656
Huye,Bungalow,127,4,2,3,1984,0,0,7.384822444825819,1.3762596201234667,5316460
Nyanza,House,105,5,1,3,2014,1,1,6.820824337745358,1.9805075554699305,6826402
Musanze,Bungalow,114,2,2,1,1981,0,1,4.351239348028882,2.322328349349204,1876934
Musanze,Bungalow,132,3,3,2,1980,1,0,1.9389501277811156,2.6424382176403087,3750668
Kigali,House,214,2,2,3,1996,0,1,3.6139954978687507,2.26900718257731,9097813
Nyamagabe,Bungalow,163,3,1,3,2011,1,0,6.5799771978935055,2.6589943571674155,5329483
Rubavu,Bungalow,99,2,1,2,1982,1,1,6.403241851625177,2.0434204892537697,3604195
Kigali,House,154,1,2,2,1983,0,0,3.835283896456073,4.905636846504885,6109827
Muhanga,Villa,138,4,2,2,1982,1,1,2.464088288304241,3.538064045704159,3819876
Huye,House,93,2,1,2,1999,1,1,3.3607050434889887,1.2231040898872574,5473723
Rubavu,Apartment,190,3,3,3,1981,1,0,6.186074340830496,1.361156247398569,6497698
Nyamagabe,Bungalow,172,3,3,3,2022,1,0,8.30405385404892,3.5833056543312827,-1809759
Rusizi,House,209,3,1,3,1991,0,0,4.206944757739134,2.4065676929464037,3461776
Muhanga,Bungalow,140,2,2,2,1993,0,1,5.117734320955913,2.0196494620991214,1713533
Gicumbi,Bungalow,50,1,1,1,2017,1,0,5.894957507400936,1.5202237621552666,1122409
Huye,House,50,4,1,1,2001,0,1,8.712559195905383,1.7598712371289937,3873184
Kigali,Bungalow,104,3,2,3,2011,1,0,3.8604531402435702,1.5991297506563749,5481268
Huye,House,122,2,1,3,2013,1,1,5.865341969061259,2.0264739268573546,2455595
Gicumbi,Bungalow,140,1,3,3,2001,0,0,3.5148486254623212,2.3689712271734416,4098621
Nyanza,House,170,1,2,1,1981,0,0,9.240702542442257,1.7503474155941248,3063654
Nyanza,Apartment,224,4,1,2,2011,0,0,6.520442212880118,3.5534358778593065,7015473
Nyamagabe,Villa,249,5,1,1,1989,1,0,3.741208684889839,0.37030719476711393,2103996
Rwamagana,Villa,186,3,1,1,2008,0,1,5.020912026694829,1.6703131352767981,3119287
Gicumbi,Bungalow,89,2,3,1,1986,1,1,5.416210111804291,3.2507670345545954,-416508
Muhanga,Villa,134,4,2,3,2012,0,0,4.5039971314924845,1.745066408454203,6222910
Huye,Apartment,189,1,2,2,2005,1,0,4.42559531816598,0.5934137831381028,1780551
Rwamagana,Apartment,111,3,3,1,1990,0,0,4.725909472783939,1.6512189431505622,4056736
Rusizi,Bungalow,116,2,2,3,1985,0,1,5.149307105154796,2.759887251934577,364051
Musanze,Apartment,216,4,1,3,1993,1,1,0.14654832563084952,0.3719800793059109,6630523
Rubavu,Villa,89,4,2,1,1986,0,1,5.474635417502229,2.3026037258783596,7942020
Rubavu,Villa,50,2,3,1,2010,0,0,6.368541511573708,0.47388214276952945,4861220
Muhanga,Apartment,311,5,3,2,1989,0,0,2.271391646310036,2.6152809939755866,8537371
Gicumbi,Apartment,194,5,3,3,1991,1,0,3.918624492741955,0.0,5797303
Rubavu,House,119,5,2,2,1984,1,1,5.636015566238774,2.5409428368382265,6671688
Rubavu,Apartment,156,5,1,1,2002,1,0,5.772435953113524,1.4037920751659234,6676010
Kigali,Villa,189,5,3,3,1980,1,1,5.4561983464404085,1.9188109548204801,3793979
Nyamagabe,Apartment,132,1,1,3,2011,1,1,5.782911503560861,2.1202657206011573,1858482
Muhanga,Bungalow,96,5,1,3,1988,1,1,8.909827464080253,1.3973765702351708,2475186
Huye,House,145,4,2,1,1992,0,1,4.7251782960755735,1.5119044366507022,1268573
Rusizi,Apartment,168,5,1,2,2009,1,0,5.854482576028958,2.6764472519503713,5668091
Rwamagana,House,197,5,3,3,1988,1,0,2.5290836069777742,2.0221660748619406,4973154
Kigali,House,149,4,1,2,2003,0,1,4.2317934045133265,2.229721878896638,3058547
Rwamagana,Apartment,214,1,2,2,2000,1,1,3.5602265214499402,1.1698168892276644,1099931
Muhanga,Bungalow,129,5,3,2,2022,1,0,3.894031081407313,0.0,8539374
Huye,Apartment,168,3,3,2,2012,0,1,4.644472717315288,1.4430721041156387,1890480
Muhanga,Villa,173,4,3,1,2004,1,1,2.783932806418341,2.357227980507412,5877132
