Location,Property_Type,Size_sqm,Number_of_Bedrooms,Number_of_Bathrooms,Number_of_Floors,Year_Built,Parking_Space,Furnished,Proximity_to_City_Center_km,Proximity_to_Schools_km,Security_Features,Price_RWF
Kacyiru,House,108,5,1,1,2020,1,1,3.595697745,1.315730177,0,4116450
Gacuriro,House,195,3,3,1,1999,1,1,1.437336511,1.999540129,1,2721104
Nyamirambo,Bungalow,106,5,2,1,2020,1,0,2.657683957,0,1,3848542
Kacyiru,Bungalow,179,1,1,3,1988,1,0,2.023599748,1.986376249,1,137546
Kimironko,Villa,130,5,3,3,2021,0,0,6.527732661,3.713774952,1,4365569
Nyarutarama,Villa,84,2,1,2,2005,1,0,5.717081343,2.943638903,0,2777682
Kimironko,Villa,143,2,3,3,2001,1,1,3.487005637,0,1,4118890
Kicukiro,Bungalow,152,5,1,2,2017,0,1,3.82722271,2.179686777,0,5733485
Gacuriro,Bungalow,50,3,1,3,2018,0,1,1.546071109,3.737500073,1,4361343
Kicukiro,House,65,1,1,2,1994,1,1,2.206159321,1.926353475,1,3350922
Remera,Apartment,181,4,2,3,2004,0,0,5.210487493,1.486784234,1,6942329
Remera,House,199,2,3,2,2004,0,0,1.393452587,1.715662506,1,4944205
Kibagabaga,Villa,182,3,1,1,2018,0,0,5.313365642,2.765582942,1,401160
Gacuriro,Bungalow,153,1,3,1,1994,0,1,8.150567756,3.360829189,0,434103
Nyarutarama,Apartment,96,5,2,1,2011,1,1,6.599844196,3.140364462,1,2365751
Kimironko,Apartment,112,5,2,3,2016,0,0,3.643950168,3.156260353,0,3932828
Kibagabaga,House,95,5,3,1,1985,0,0,5.560655519,2.798530344,1,3599039
Kimironko,Apartment,111,3,2,1,2007,1,0,4.536604292,0.986622655,0,5104669
Kanombe,House,96,4,1,1,2002,1,0,4.48246673,1.417122781,1,5352372
Nyarutarama,Bungalow,169,5,2,1,1988,1,1,4.977687269,2.966953822,1,5921628
Kimironko,Apartment,132,4,1,2,1985,1,1,4.889888843,1.849396544,1,3764111
Kanombe,House,240,1,3,1,1995,0,1,3.819990702,2.178878023,1,5518784
Kicukiro,Bungalow,169,5,3,1,2004,1,1,5.207130604,2.056530431,1,5552552
Kibagabaga,Bungalow,213,5,2,2,2020,1,0,8.327283986,1.944380964,1,6290111
Remera,House,196,5,1,2,1992,1,1,5.107345034,1.500774622,1,6171211
Kanombe,Bungalow,207,4,3,1,2011,0,0,4.138168235,1.974423822,1,4735236
Kibagabaga,Apartment,63,1,3,3,2003,0,0,4.588386822,0.808445317,0,5258484
Nyarutarama,Bungalow,176,2,2,1,1992,0,1,7.0937782,1.836148323,0,8222285
Remera,Bungalow,183,3,1,2,1980,0,0,1.405514003,0.535489362,1,560126
Nyarutarama,Apartment,143,1,2,2,2018,1,0,5.100745298,4.843804314,1,6153904
Kibagabaga,Apartment,53,3,1,1,2004,0,0,1.899182501,0.988853733,1,3124708
Nyarutarama,Bungalow,130,5,1,2,2006,1,1,7.24430726,2.922740527,1,3514414
Kibagabaga,Villa,118,3,2,3,2008,0,0,4.930133677,1.795976121,1,3561335
Kimironko,Apartment,218,1,3,2,2010,1,1,8.585301424,1.49574183,1,295104
Nyamirambo,Bungalow,117,2,1,2,1996,1,0,2.26389789,2.169320936,1,3559124
Kacyiru,Bungalow,110,4,2,2,2012,1,0,5.635502122,2.888427896,1,6977605
Kanombe,Villa,230,4,2,1,1989,0,1,4.347781912,0.435209732,0,7764346
Kimironko,House,232,5,1,2,2021,0,0,5.769194176,3.987972608,1,7570122
Kacyiru,Apartment,201,5,1,2,1980,0,0,4.832927887,2.307580007,1,6184057
Kibagabaga,House,158,5,1,2,2019,1,1,9.833648065,3.358647094,1,4302871
Kimironko,Apartment,144,5,1,1,2009,1,0,10.28010329,3.458697392,1,5328936
Kicukiro,Apartment,284,2,3,1,1986,0,0,6.615135939,1.819051496,1,2714406
Nyarutarama,Villa,59,4,2,1,1999,0,0,6.047382162,1.756010034,1,7753990
Kacyiru,Apartment,108,2,3,1,2020,1,0,3.757900317,1.594451209,1,4516359
Kicukiro,Bungalow,196,5,1,3,2000,1,1,6.590946602,2.048525837,0,6627084
Nyarutarama,Villa,131,1,1,3,1982,1,0,8.508500225,2.778664673,1,5951049
Remera,Apartment,179,2,2,3,2013,1,0,5.728599803,3.032375212,0,4906960
Kanombe,Apartment,135,3,3,1,2012,1,0,2.690751451,1.940830392,1,4283924
Kicukiro,House,147,1,1,3,1999,0,0,6.341230583,1.998976952,1,1841745
Nyarutarama,Apartment,85,5,3,1,1995,0,0,7.400411139,3.758877271,1,5038537
Nyamirambo,Bungalow,50,5,2,2,1999,1,1,7.286146586,4.098839766,1,4381564
Gacuriro,House,110,1,1,3,1983,0,1,6.186019534,3.179785434,1,2145897
Nyamirambo,Villa,174,5,1,2,1986,1,1,5.467968635,0.928898862,1,1652651
Kimironko,Bungalow,156,1,2,1,2005,1,1,4.365044673,3.416314253,1,5023746
Remera,Apartment,64,5,1,1,1994,0,1,3.895462677,2.394244833,1,4686499
Nyamirambo,Apartment,201,2,2,1,1986,0,0,7.300182002,2.679080922,1,10636321
Remera,Bungalow,155,1,3,3,1981,0,1,4.341304703,1.265707621,1,3437920
Nyamirambo,Apartment,192,5,3,1,1984,0,1,6.422943138,1.671698254,1,3010483
Nyarutarama,Bungalow,101,5,1,2,2017,1,0,6.716275671,1.536108082,1,2572949
Gacuriro,Villa,209,3,3,1,1997,1,0,4.554835247,1.400842755,1,3460133
Nyamirambo,Villa,199,4,3,3,2004,0,0,6.769931129,2.749126627,1,5900018
Nyamirambo,Villa,222,5,2,3,2005,1,1,4.549482603,1.489566127,1,5341063
Remera,Apartment,178,2,2,3,2019,1,1,7.695573922,2.784490751,1,3902813
Gacuriro,Bungalow,111,2,1,1,2007,0,1,3.744995264,2.004911118,0,1127214
Kanombe,Bungalow,150,1,2,2,2017,1,0,1.36398813,2.149549732,0,2641308
Remera,House,165,3,3,2,1991,1,0,5.468688834,2.062167842,0,4164528
Gacuriro,Apartment,125,5,2,3,1982,0,1,3.146741381,0,1,3578493
Kacyiru,Bungalow,211,4,3,1,2017,1,1,9.192800602,2.995742471,0,3598470
Nyamirambo,Apartment,180,3,1,1,1988,0,0,2.605170146,2.95859751,1,5620443
Kimironko,Villa,174,1,3,2,2006,1,0,3.616874248,0.777590656,0,5388202
Remera,Apartment,208,5,1,1,1996,1,1,6.406429521,0.541111305,1,7886282
Kanombe,Bungalow,166,2,3,1,1982,0,1,5.473366717,2.668335759,1,2832584
Nyarutarama,Villa,157,2,1,1,1998,1,1,0.643059192,3.296981702,1,1094274
Kibagabaga,Bungalow,136,1,2,2,2020,1,0,7.098207288,1.689575626,1,3639389
Kicukiro,Apartment,60,5,3,1,1995,0,1,4.969324831,3.668035613,1,5608400
Nyarutarama,House,122,1,2,2,1991,1,0,5.187189711,1.459502403,1,5901418
Kanombe,Bungalow,100,5,1,1,1999,1,1,4.952094245,1.291634727,0,496546
Kimironko,Bungalow,93,1,2,2,2015,1,0,8.373674104,2.450505764,1,2614605
Nyamirambo,Apartment,113,3,3,3,1991,0,1,3.006247613,1.738109574,1,5650328
Kacyiru,Bungalow,172,5,2,1,2011,1,0,7.606471728,2.516231389,0,4671267
Remera,Villa,113,2,2,2,2012,1,1,6.711914776,2.072829739,1,3660765
Kibagabaga,Bungalow,100,2,3,3,2001,0,0,6.628403139,1.211803336,1,6034618
Gacuriro,Bungalow,222,5,3,3,1980,1,0,5.884600477,3.090826226,1,6671319
Nyamirambo,House,156,1,1,2,1984,1,1,6.773233816,1.327126891,0,5613505
Kanombe,House,94,4,2,3,2006,1,1,6.643998159,1.60571306,1,4271300
Kanombe,Bungalow,111,4,1,1,1993,1,1,5.177083332,2.033977205,0,5676893
Nyarutarama,Bungalow,97,3,2,3,2016,1,1,5.27428627,0.884458933,0,4423518
Kibagabaga,Villa,68,5,1,1,2010,0,0,5.60492292,1.987942195,1,4799876
Kanombe,Bungalow,134,2,1,2,1981,0,0,7.082538308,3.164068045,1,4104191
Nyamirambo,House,144,5,3,3,2018,1,0,3.454681291,2.447584198,0,3826819
Kimironko,House,135,1,3,1,2012,0,0,6.866078339,0.550339032,1,-234365
Kibagabaga,Apartment,208,5,1,2,2013,0,1,2.078948939,3.180848639,1,8229063
Kicukiro,House,220,4,1,2,1995,1,0,10.12248521,1.876211735,1,5063021
Nyamirambo,Bungalow,97,2,1,3,2017,0,0,1.688688585,1.77661641,1,6178274
Nyamirambo,Apartment,166,5,1,2,1981,1,1,3.507625125,0.773910112,0,3406897
Gacuriro,House,84,2,2,3,1981,0,0,6.211768653,3.860498848,0,2519596
Kanombe,Apartment,124,5,2,1,1985,1,1,6.108776969,1.48751442,0,4572616
Kicukiro,Bungalow,105,2,2,3,2006,1,0,2.307920092,2.818783854,1,2757241
Kicukiro,House,80,5,1,1,2007,1,0,6.582527892,1.255538902,0,5043447
Kimironko,Apartment,177,4,1,1,2000,0,1,8.139155509,2.301216366,1,2916478
Gacuriro,House,155,3,1,2,1997,0,1,5.833091319,0.875824667,1,980776
Nyamirambo,Apartment,147,1,3,3,2022,1,0,6.851942315,2.490364365,0,3780859
Nyarutarama,Villa,135,1,1,3,2004,0,1,8.075210787,2.651923304,1,4514207
Nyarutarama,Apartment,221,3,1,3,2017,0,1,0.654838556,0.498068465,1,2491364
Nyarutarama,House,90,3,1,1,2012,1,0,7.263286268,3.196081142,1,-809926
Gacuriro,Villa,128,5,3,3,2018,1,0,8.003616297,2.227985298,1,1725357
Kibagabaga,Villa,164,2,1,1,1994,1,0,6.10016204,2.606381855,1,4773111
Kimironko,Villa,236,4,3,3,2023,1,0,0.803572019,2.116931658,1,9389809
Kicukiro,House,181,1,3,3,2020,1,0,6.884000741,2.68921096,1,2944745
Kibagabaga,Bungalow,100,4,3,1,2019,0,1,7.777596259,2.269143888,1,3902673
Kacyiru,Villa,161,5,3,1,1992,1,0,5.753187627,0.416452433,1,4634203
Kibagabaga,Bungalow,56,3,1,3,2006,0,0,2.13468295,0.328024619,1,3976397
Nyamirambo,Villa,100,3,2,3,2011,1,0,1.10508989,2.035676301,1,4619626
Remera,Apartment,181,1,3,2,1983,1,1,7.151184127,0.941356107,1,9081163
Kanombe,Apartment,168,3,3,3,2007,1,0,3.970765987,3.674363883,0,8044989
Remera,Apartment,114,2,1,3,2016,0,1,8.343286459,2.193634359,1,3239229
Kacyiru,House,126,1,1,2,1998,0,1,5.832840081,1.764388061,1,2969581
Kanombe,Villa,72,2,2,2,2015,0,1,7.247437744,1.319987439,0,1099380
Kanombe,House,129,4,2,1,1981,1,0,5.78868375,3.010927213,1,699417
Kibagabaga,Villa,134,2,3,1,2002,1,0,4.776424827,0.22452482,0,1910577
Kicukiro,House,102,2,3,1,2019,0,1,0.948741457,0.007027561,1,269851
Kanombe,Apartment,104,1,1,2,1986,1,1,5.743153229,0.193382463,0,1377463
Kacyiru,House,226,2,2,2,1999,1,1,4.642515335,1.391059638,1,5452866
Kimironko,Bungalow,166,4,3,1,2000,0,1,5.872887915,3.800090989,1,5435682
Nyarutarama,Villa,172,3,3,1,2018,1,1,3.651992537,3.275774419,1,4805464
Nyamirambo,Villa,150,3,1,3,1992,1,1,0.285164334,1.93419721,1,3743224
Kacyiru,Apartment,145,5,3,2,1996,1,0,8.08848707,0.916462072,0,3366298
Kacyiru,Apartment,178,5,2,2,1999,1,1,1.673930314,1.926519939,1,7981380
Nyarutarama,Bungalow,126,1,2,1,2004,0,0,5.926415333,1.854734388,0,369281
Nyarutarama,House,124,4,3,2,2014,0,1,5.228905635,1.781207871,1,5142634
Nyarutarama,Apartment,188,1,3,1,1998,1,0,3.866897032,3.513036118,1,1976730
Remera,House,122,1,1,2,2009,1,0,6.632316224,2.33392218,1,1233836
Kimironko,House,131,5,3,3,2005,0,1,2.755779328,2.55957527,1,3851596
Remera,House,167,4,1,2,2009,1,1,5.79569343,2.432018533,1,1289757
Kacyiru,House,50,1,2,2,2002,0,1,6.41667436,2.262221332,1,-307318
Nyarutarama,Bungalow,57,2,2,1,1989,0,0,1.502857105,1.063908773,0,1488884
Kanombe,Bungalow,77,1,2,2,1996,1,1,3.450995807,1.66771212,1,2885154
Kibagabaga,Villa,181,5,1,3,2022,0,0,5.965532708,3.303575208,0,5681947
Kicukiro,Villa,121,1,2,2,1999,0,0,3.596700743,0.530416786,1,3788302
Gacuriro,House,221,3,3,2,1993,1,0,5.175872617,3.48883844,1,2847028
Nyarutarama,House,203,4,2,2,1996,0,1,2.87010739,1.647615532,0,3650769
Kicukiro,Villa,84,4,1,1,2003,0,1,8.124153692,1.175647158,0,5297037
Remera,Apartment,152,5,2,1,2017,1,0,4.23727528,0,1,6714044
Kanombe,Bungalow,123,2,3,2,2015,0,1,2.288109957,1.990491946,0,5231640
Nyarutarama,House,105,3,3,3,2018,0,1,6.339364642,2.89728403,1,4872371
Kanombe,Villa,90,5,1,3,2010,1,1,6.01531681,3.374462899,1,4244283
Kibagabaga,Villa,87,4,2,2,1992,0,0,1.394289113,1.514624243,0,4148357
Nyarutarama,Bungalow,159,5,3,1,1996,0,1,7.195392574,0.637566873,1,5898838
Kicukiro,House,282,5,2,3,1988,0,0,4.106307672,2.584499727,1,4519161
Kacyiru,Villa,64,1,1,1,1995,0,0,2.449744392,2.259152649,1,-1046403
Kacyiru,Villa,200,1,2,2,2000,1,1,6.80738155,1.666373687,1,3152867
Kicukiro,Bungalow,172,3,3,2,2003,0,0,1.706495292,2.125307621,1,7144918
Gacuriro,House,104,3,3,3,1993,0,0,3.30638652,1.009148629,1,7846274
Nyarutarama,Bungalow,115,3,1,3,2003,0,0,5.761468901,1.864533787,1,1956464
Kanombe,Apartment,114,5,1,1,2019,1,1,1.180566885,3.002768939,1,3881166
Gacuriro,Villa,181,3,3,3,1983,1,0,4.554890264,2.744246723,0,9419110
Kacyiru,Villa,228,4,1,1,1999,0,0,2.442532473,1.209887847,0,11003203
Gacuriro,Bungalow,156,4,1,2,1991,1,0,5.900751209,1.276162088,1,5840038
Nyarutarama,Villa,139,4,3,3,2014,1,1,1.327264996,1.933497339,0,3509971
Kicukiro,House,109,1,2,3,1992,0,0,4.036243608,0.450014528,0,4154145
Kibagabaga,House,247,1,1,1,2001,1,0,6.636755366,1.605678589,0,713778
Nyarutarama,House,243,2,2,1,2019,0,1,8.842375845,2.067877671,1,5226536
Nyarutarama,Bungalow,110,2,3,1,2012,1,1,0.315938728,2.494529925,0,4046922
Kimironko,Villa,218,5,2,1,1983,0,0,5.57176894,2.147964363,0,5073193
Gacuriro,House,166,1,2,1,2021,1,0,0.642306079,1.027693093,1,3658527
Kanombe,Villa,72,1,1,3,2021,0,0,5.149293309,2.264101619,1,776129
Kanombe,Villa,168,1,1,2,1981,0,0,6.203232439,0.953802265,1,1844052
Nyamirambo,Villa,147,5,1,1,1989,1,1,3.518790597,2.851561445,1,5630682
Kanombe,House,90,1,1,3,1996,0,0,6.00250502,3.014925847,1,-655719
Gacuriro,Bungalow,129,5,3,1,2004,1,1,4.184407749,3.757157534,1,6353595
Kimironko,House,154,4,3,1,1983,0,1,2.821339563,1.134872842,1,5564718
Kanombe,Bungalow,124,4,2,2,2003,1,1,3.479201518,3.454351908,1,4166246
Remera,Villa,123,2,3,3,2008,0,1,4.231452061,3.356053183,0,640260
Kanombe,House,229,4,1,2,2023,0,0,2.841582986,2.088968674,0,2693136
Nyarutarama,Villa,50,2,3,3,1987,0,1,2.97244037,2.578286322,1,5376552
Gacuriro,House,243,1,2,3,2015,1,1,6.082615627,2.309428943,0,4169010
Nyamirambo,House,154,3,1,1,2019,0,0,2.74215078,0.846918266,1,3462541
Nyamirambo,House,50,4,1,3,2015,1,1,5.608436812,3.790813931,1,1667852
Remera,Villa,151,5,1,1,1985,1,0,1.748920556,1.818280783,0,5163415
Gacuriro,Villa,178,4,2,1,2019,0,0,5.064686497,3.610288496,0,2821970
Nyamirambo,Bungalow,100,3,3,3,2020,1,0,2.87570232,3.263414271,1,2852988
Nyarutarama,House,198,1,3,1,2008,1,1,3.411046875,2.419831678,0,4859328
Kicukiro,Villa,174,3,2,2,2015,1,1,8.854489659,2.57845156,1,2852736
Kacyiru,Apartment,50,4,1,3,2006,1,0,4.941856532,2.694081266,0,1733540
Gacuriro,Apartment,114,5,3,2,2017,0,1,2.222779389,2.225614022,1,6102502
Nyarutarama,House,232,4,2,2,1989,1,0,3.811528827,3.391907267,1,3257800
Kimironko,Apartment,125,4,1,1,2014,1,1,3.464355823,1.964399878,1,2239435
Gacuriro,Bungalow,119,2,2,1,1982,1,0,3.113022433,1.40395785,0,3161441
Nyarutarama,Apartment,230,4,3,2,2011,1,1,0.254566886,1.431997033,1,6500098
Kacyiru,Bungalow,192,3,1,2,1998,0,0,3.830781363,2.141155257,0,4148171
Gacuriro,Villa,162,1,2,3,2000,1,0,5.367900369,1.712998296,0,649549
Kacyiru,Bungalow,135,3,3,2,2004,0,1,5.134923119,0,0,4222015
Nyarutarama,Apartment,203,4,3,3,2012,1,1,4.468152488,0.114770682,0,4738850
Kanombe,House,163,1,2,3,1985,1,0,2.408995137,0.08024412,1,3912322
Kimironko,Villa,157,5,3,2,1999,1,0,5.720376144,2.150324316,0,3789803
Kicukiro,Villa,143,4,2,2,2005,0,1,2.94391968,3.535175147,1,3239101
Nyamirambo,House,201,5,3,3,1991,1,0,5.713599286,0.365795952,1,7685423
Kanombe,Bungalow,101,2,1,1,1994,1,0,0.140073159,1.292104961,0,1397251
Kibagabaga,House,160,1,1,1,2000,1,0,3.225516541,1.028272264,1,3116650
Kimironko,Apartment,136,4,1,1,2021,1,1,9.350883571,2.017999155,0,1548601
Kimironko,Bungalow,159,5,3,1,2006,1,0,4.58531822,1.668605832,1,6892445
Nyamirambo,Apartment,199,1,1,3,1982,0,0,7.117910302,1.274284125,0,4826806
Gacuriro,Apartment,205,1,1,2,1995,1,0,3.148567159,2.247208842,1,4485525
Kicukiro,Villa,146,1,1,3,1984,1,0,6.591018283,2.736163433,1,1085642
Kibagabaga,Apartment,127,1,2,3,2003,1,1,2.228208107,1.498232895,1,5922287
Nyamirambo,Bungalow,146,3,1,2,2009,1,1,7.504306738,2.930933163,1,679987
Kicukiro,Villa,277,4,2,2,2007,0,1,6.315047254,3.739232218,1,4785087
Kicukiro,Villa,175,5,1,3,1996,0,1,4.975120014,2.732861757,1,6555993
Kicukiro,House,151,2,3,1,2000,0,0,6.403221378,2.882432565,1,503318
Kimironko,Apartment,142,2,2,3,2011,1,1,6.72897375,2.576985881,1,1984895
Kimironko,Bungalow,126,3,3,3,2007,0,0,1.707478624,2.535701515,1,4347813
Kimironko,House,50,1,3,1,2016,1,1,5.456978126,2.737605166,0,-351316
Kanombe,House,183,1,3,1,1987,0,1,2.03343184,2.159787286,1,5778293
Nyarutarama,House,147,4,2,1,2000,1,1,3.079220555,4.635991383,1,6940197
Kimironko,Villa,99,2,2,2,2000,0,0,4.40302705,2.360344321,1,718856
Kacyiru,Apartment,133,3,3,2,1990,0,1,4.346863094,1.285607888,1,-60908
Kacyiru,Apartment,171,4,2,1,1983,0,1,3.292822849,0.153619868,0,4931599
Kanombe,Apartment,205,4,2,1,1997,0,0,6.519677988,2.622248389,1,4237945
Gacuriro,Bungalow,93,4,1,2,1997,1,1,5.391734526,2.948034911,1,2952497
Gacuriro,House,182,2,3,2,1986,0,0,5.89576438,3.021860255,1,2612232
Nyamirambo,Villa,50,2,1,2,1985,1,0,7.840377977,0.76426651,1,-154865
Nyarutarama,Bungalow,50,3,3,1,1988,0,1,4.079148697,4.062145504,1,1074246
Kibagabaga,Apartment,127,5,1,1,2009,1,0,5.477339145,3.027630643,1,4569495
Gacuriro,Bungalow,112,5,2,2,2020,1,0,2.898067531,1.56821638,1,8162244
Remera,Villa,124,5,3,2,2001,0,1,8.781597342,3.663852774,1,7603221
Kanombe,Bungalow,186,1,1,1,1993,1,0,6.61559532,1.13055069,0,2777296
Kimironko,Villa,119,3,1,1,2004,0,0,8.061558755,1.78335883,1,2050247
Nyamirambo,Villa,122,3,1,1,2022,0,1,6.744838526,2.058812098,0,2207082
Kanombe,Villa,174,5,1,3,2014,0,1,3.931859581,3.927974278,1,532904
Gacuriro,Apartment,184,5,3,1,1986,1,1,2.902312574,0.688055677,0,5184126
Kicukiro,Villa,191,4,3,1,2003,0,1,4.674866105,2.316395679,0,6436489
Kicukiro,Bungalow,135,3,2,2,1998,0,0,1.748481345,2.265481972,1,4430043
Nyamirambo,Apartment,225,4,3,3,2022,1,0,1.899061478,2.128097545,1,9000314
Kicukiro,Bungalow,50,4,3,3,2006,0,0,5.778971468,1.808725197,1,4474578
Gacuriro,Villa,106,4,1,2,2006,1,0,9.618029787,0.113593832,1,7101612
Nyarutarama,House,153,2,2,3,1984,1,0,1.34097419,2.455978054,0,4237706
Nyarutarama,Bungalow,142,5,1,3,2012,0,1,5.363156219,2.207422346,0,4893530
Remera,Villa,85,1,3,3,1985,1,0,3.886697263,0.984710744,1,1676542
Kanombe,Villa,65,3,2,1,2006,1,0,5.06023625,1.838843323,0,-1145854
Kanombe,House,60,3,1,3,2010,0,0,4.997642064,2.704407573,1,5872382
Nyamirambo,Apartment,159,3,2,2,2023,0,0,6.115529354,2.174532753,1,1361317
Kacyiru,House,58,5,2,1,1990,1,1,2.486593743,1.712554469,1,5416315
Kacyiru,Bungalow,234,2,1,1,2017,1,1,4.108095038,0.259273079,1,5342428
Gacuriro,Bungalow,159,4,1,3,2006,0,0,4.398458694,3.626837514,1,3745782
Kacyiru,Villa,207,4,3,1,1989,1,1,6.005790212,0.105167613,1,2535101
Kicukiro,Villa,117,2,2,1,2000,0,0,4.980077678,1.614809258,1,3509138
Remera,Bungalow,161,2,3,1,2014,0,0,6.717393475,1.552312807,1,1616523
Kimironko,Villa,172,1,3,2,2009,0,0,1.442468355,3.233296565,0,2501250
Kibagabaga,Bungalow,215,4,2,2,2003,1,0,2.441299381,3.117496595,0,5324140
Kacyiru,House,126,5,1,2,1980,1,0,3.445890628,1.263948107,0,1286418
Kimironko,Villa,125,3,1,1,2014,1,0,7.106397737,1.595604269,1,-474444
Kacyiru,Apartment,95,1,3,3,2016,1,1,5.886165112,2.314412515,1,4366659
Kibagabaga,House,279,3,2,1,2008,0,0,8.244535391,0.26099235,1,6205203
Gacuriro,Apartment,102,5,2,2,1994,1,1,6.125321359,1.200035305,1,2881787
Kicukiro,Villa,184,4,2,2,2003,0,0,4.420418466,3.29972074,0,2520255
Kibagabaga,Bungalow,137,3,3,3,2010,1,1,4.518399293,2.3413705,1,2860788
Kibagabaga,Apartment,127,2,1,3,1994,1,0,2.070955114,3.136666569,1,1567188
Kacyiru,House,192,4,3,2,2021,1,0,5.414176055,2.134673351,1,5055598
Gacuriro,House,226,1,3,2,1996,1,1,3.733104929,2.060260199,1,4386406
Nyarutarama,House,181,4,2,2,1990,0,0,6.725575024,1.633848498,0,5701894
Remera,House,123,5,2,2,1985,0,0,4.742700859,3.675006815,1,513866
Kicukiro,Bungalow,110,2,3,1,1998,1,1,2.597726558,2.670678525,1,79637
Gacuriro,Bungalow,50,5,1,1,1984,0,0,4.540143423,1.15701127,1,1867876
Gacuriro,House,237,3,1,3,1996,0,0,5.512856555,2.706737174,0,3110332
Kicukiro,House,229,3,1,3,2013,0,1,4.71012147,0.645932078,1,4168572
Nyarutarama,Apartment,93,1,1,3,1996,1,1,5.615498001,2.789894276,0,1840979
Nyarutarama,Bungalow,117,4,1,1,2013,1,1,3.888147678,0.033969446,1,3919492
Kimironko,Apartment,116,5,2,1,1991,1,0,8.299097648,0.558774516,1,3552812
Kicukiro,Apartment,97,4,2,1,2004,1,1,5.607180739,1.937616679,1,5977114
Kibagabaga,Apartment,307,1,3,3,1998,1,0,5.254525806,1.769475773,0,7065640
Remera,House,209,5,2,2,2012,1,1,5.172467882,2.809812002,0,5142783
Nyamirambo,House,223,1,1,3,1996,0,1,4.939862894,1.676975913,1,6256837
Nyarutarama,Villa,118,1,1,2,2018,0,0,1.955799476,1.284631883,1,3401729
Kanombe,Bungalow,160,4,2,1,2006,1,0,3.778253979,2.50555765,1,7170396
Gacuriro,Bungalow,191,5,3,3,2019,1,1,7.283145374,2.729051349,1,5126177
Kanombe,Bungalow,124,2,2,3,1995,1,0,5.757688173,0.775756831,0,4022353
Remera,Villa,210,5,1,2,1986,0,1,1.08778969,2.149925982,1,5772744
Kibagabaga,Villa,141,1,1,2,2007,1,1,3.883450693,1.208532222,0,2598491
Nyarutarama,Villa,182,3,2,2,2013,1,1,6.909386274,1.193533896,1,3931171
Kibagabaga,Bungalow,190,5,2,2,1995,1,0,6.179757269,0.571984932,1,6000703
Kimironko,House,151,3,2,2,2009,1,1,3.983001693,2.730415283,1,2543935
Nyamirambo,Bungalow,198,3,3,3,2023,0,1,7.106886419,1.542435443,0,4333181
Kibagabaga,Apartment,117,4,2,3,2015,1,1,6.415467328,2.829961447,0,1683112
Kibagabaga,House,65,5,2,1,2011,0,0,5.773999704,2.787773443,0,4447692
Kicukiro,Villa,151,3,1,3,1983,1,0,2.692883936,3.722550966,1,2708820
Gacuriro,Apartment,138,3,3,2,1995,1,1,4.522844185,0.868143833,1,4143176
Kibagabaga,Apartment,183,2,2,2,2019,0,1,3.576862287,1.628379234,1,6254291
Kacyiru,Villa,167,3,1,2,2020,1,0,2.95494763,3.026840849,0,4036298
Gacuriro,House,212,2,1,3,1984,1,0,3.874150264,2.145542086,1,469274
Kicukiro,Apartment,83,4,1,3,1984,1,0,6.711321013,2.472692565,1,6209398
Kacyiru,House,227,5,3,1,2000,0,1,3.466160576,3.031181986,1,6231441
Kanombe,Villa,123,2,1,3,1994,1,1,3.301071336,0.970164069,1,682912
Remera,Villa,225,3,3,3,1992,1,1,6.590009794,2.934207679,0,4663993
Kibagabaga,Apartment,157,5,1,3,1992,0,0,4.057042298,2.63045413,0,1398224
Kacyiru,Bungalow,119,1,2,3,2012,1,0,3.62289633,2.994069788,0,2394610
Remera,House,159,1,3,2,2019,0,0,4.955043096,0.478676687,0,1196508
Nyarutarama,Apartment,97,1,2,3,2000,0,1,5.033290237,1.593219783,0,2244576
Kimironko,House,141,4,1,1,1996,1,1,4.570550962,1.567566303,1,4434433
Nyamirambo,House,109,1,3,1,1980,1,0,4.017170122,1.8340647,0,4598194
Remera,House,171,4,2,3,2017,1,0,7.405271967,0.977784602,1,2108564
Kicukiro,Villa,165,2,2,3,2015,0,0,5.129115485,3.005732071,1,5227484
Kibagabaga,Villa,186,3,1,1,2005,1,0,3.918028718,1.631330293,1,4646030
Kacyiru,Bungalow,146,2,2,2,2003,1,0,2.763916801,1.644880669,1,1762396
Gacuriro,House,194,4,1,1,1986,1,1,3.318464536,2.289138044,0,850645
Kibagabaga,Villa,185,3,2,1,1995,1,1,4.532059052,1.270502544,1,3653830
Kimironko,Villa,62,2,2,1,2004,0,0,5.932300319,1.221168214,1,-731407
Kibagabaga,Villa,113,1,3,1,2010,0,1,2.96604274,3.04043199,1,1405936
Gacuriro,Apartment,162,1,1,1,1987,1,1,3.226083873,1.867544208,1,-731412
Nyarutarama,Bungalow,153,3,2,2,1990,0,0,3.2630881,2.252651218,1,4429784
Kacyiru,Villa,130,3,2,1,2008,1,1,7.199809772,2.279391749,0,2553947
Kibagabaga,Villa,134,4,1,2,2000,1,1,4.407383785,0.995023059,0,7660122
Gacuriro,Apartment,158,2,1,3,1991,1,0,2.46667997,4.004061734,0,883924
Kacyiru,House,140,5,3,2,2000,1,0,5.122426865,2.298248846,1,3798198
Kimironko,Apartment,185,4,3,2,1999,1,0,4.475345807,2.770332794,0,5849755
Remera,Bungalow,165,4,2,2,1989,1,1,2.594545783,3.818297934,0,3524588
Kanombe,Villa,125,1,3,2,2008,0,0,5.583636194,1.605992366,0,4330928
